Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Centro-Oeste,  796.381 ,  795.481 ,  840.558 ,  775.074 ,  848.023 ,  835.281 ,  871.301 ,  903.121 ,  883.038 ,  910.632 ,  855.515 ,  852.469 ,  10.166.874 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  14.284 ,  16.152 ,  15.854 ,  14.115 ,  13.760 ,  14.655 ,  15.848 ,  16.612 ,  17.685 ,  17.987 ,  16.324 ,  16.708 ,  189.983 
Norte,  1.335.562 ,  1.252.463 ,  1.233.726 ,  1.151.768 ,  1.207.674 ,  1.225.722 ,  1.283.996 ,  1.360.312 ,  1.338.975 ,  1.414.600 ,  1.332.733 ,  1.354.631 ,  15.492.161 
Nordeste,  1.718.181 ,  1.688.953 ,  1.642.481 ,  1.316.112 ,  1.434.650 ,  1.499.866 ,  1.688.562 ,  1.670.713 ,  1.739.106 ,  1.839.009 ,  1.670.540 ,  1.702.521 ,  19.610.694 
Sudeste/C.Oeste,  7.907.788 ,  8.176.523 ,  8.467.225 ,  7.315.575 ,  7.244.135 ,  7.350.848 ,  8.194.894 ,  8.643.908 ,  8.647.784 ,  8.995.334 ,  8.776.157 ,  8.727.187 ,  98.447.359 
Sul,  2.562.605 ,  2.769.213 ,  2.775.843 ,  2.377.962 ,  2.420.716 ,  2.465.186 ,  2.734.191 ,  2.855.864 ,  2.918.141 ,  3.037.212 ,  3.004.999 ,  2.875.937 ,  32.797.868 
,,,,,,,,,,,,,
,2019,,,,,,,,,,,,
TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  13.897.390 ,  13.546.155 ,  14.051.617 ,  13.905.583 ,  14.204.208 ,  13.834.432 ,  14.102.905 ,  14.192.679 ,  13.871.857 ,  14.405.382 ,  14.164.780 ,  13.601.959 ,  167.778.946 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.057.234 ,  939.392 ,  1.048.819 ,  992.356 ,  1.061.170 ,  1.090.462 ,  1.152.863 ,  1.195.972 ,  1.165.927 ,  1.232.302 ,  1.200.190 ,  1.255.438 ,  13.392.124 
Nordeste,  1.907.327 ,  1.827.727 ,  1.876.984 ,  1.838.424 ,  1.902.085 ,  1.781.737 ,  1.865.570 ,  1.808.372 ,  1.718.478 ,  1.850.482 ,  1.802.731 ,  1.852.317 ,  22.032.234 
Sudeste,  7.545.071 ,  7.285.407 ,  7.556.147 ,  7.494.816 ,  7.597.072 ,  7.384.031 ,  7.434.149 ,  7.485.988 ,  7.411.807 ,  7.616.449 ,  7.523.365 ,  7.086.548 ,  89.420.849 
Sul,  2.614.120 ,  2.716.160 ,  2.798.579 ,  2.827.374 ,  2.834.366 ,  2.793.949 ,  2.813.400 ,  2.844.379 ,  2.741.020 ,  2.850.857 ,  2.813.232 ,  2.615.961 ,  33.263.395 
Centro-Oeste,  773.638 ,  777.469 ,  771.087 ,  752.614 ,  809.515 ,  784.254 ,  836.924 ,  857.969 ,  834.626 ,  855.293 ,  825.262 ,  791.695 ,  9.670.344 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  11.271 ,  11.561 ,  11.555 ,  12.241 ,  13.029 ,  12.383 ,  12.089 ,  12.226 ,  13.080 ,  12.258 ,  11.858 ,  11.621 ,  145.171 
Norte,  1.122.440 ,  1.006.984 ,  1.119.944 ,  1.047.707 ,  1.133.380 ,  1.177.059 ,  1.237.328 ,  1.288.629 ,  1.248.844 ,  1.315.983 ,  1.288.207 ,  1.347.816 ,  14.334.320 
Nordeste,  1.792.079 ,  1.712.018 ,  1.756.199 ,  1.733.556 ,  1.778.201 ,  1.646.898 ,  1.727.995 ,  1.664.107 ,  1.582.891 ,  1.715.338 ,  1.664.478 ,  1.709.758 ,  20.483.519 
Sudeste/C.Oeste,  8.357.480 ,  8.099.432 ,  8.365.340 ,  8.284.706 ,  8.445.232 ,  8.204.143 ,  8.312.093 ,  8.383.339 ,  8.286.021 ,  8.510.948 ,  8.387.005 ,  7.916.802 ,  99.552.541 
Sul,  2.614.120 ,  2.716.160 ,  2.798.579 ,  2.827.374 ,  2.834.366 ,  2.793.949 ,  2.813.400 ,  2.844.379 ,  2.741.020 ,  2.850.857 ,  2.813.232 ,  2.615.961 ,  33.263.395 
,,,,,,,,,,,,,
,2018,,,,,,,,,,,,
