Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2024*,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,2016,,,,,,,,,,,,
TOTAL COMERCIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,  7.760.773 ,  7.714.336 ,  7.798.026 ,  8.046.466 ,  7.379.039 ,  6.847.934 ,  6.686.063 ,  6.749.563 ,  6.998.392 ,  7.031.209 ,  7.335.151 ,  7.525.886 ,  87.872.838 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  392.658 ,  389.776 ,  405.899 ,  392.009 ,  415.427 ,  416.102 ,  421.191 ,  420.317 ,  422.149 ,  425.284 ,  418.111 ,  390.239 ,  4.909.162 
Nordeste,  1.191.688 ,  1.158.481 ,  1.249.510 ,  1.217.130 ,  1.196.339 ,  1.170.478 ,  1.109.719 ,  1.144.042 ,  1.176.506 ,  1.202.077 ,  1.236.229 ,  1.269.711 ,  14.321.910 
Sudeste,  4.227.956 ,  4.167.271 ,  4.155.268 ,  4.398.022 ,  3.960.712 ,  3.611.034 ,  3.507.200 ,  3.524.375 ,  3.706.102 ,  3.698.574 ,  3.902.049 ,  4.015.309 ,  46.873.872 
Sul,  1.352.653 ,  1.394.509 ,  1.357.823 ,  1.383.419 ,  1.215.606 ,  1.082.493 ,  1.099.260 ,  1.095.412 ,  1.101.469 ,  1.099.866 ,  1.178.434 ,  1.256.083 ,  14.617.027 
Centro-Oeste,  595.818 ,  604.299 ,  629.526 ,  655.886 ,  590.955 ,  567.827 ,  548.693 ,  565.417 ,  592.166 ,  605.408 ,  600.328 ,  594.544 ,  7.150.867 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  42.148 ,  42.839 ,  44.375 ,  42.081 ,  41.674 ,  41.477 ,  40.998 ,  44.071 ,  44.163 ,  44.463 ,  43.927 ,  37.270 ,  509.486 
Norte,  385.918 ,  378.321 ,  392.635 ,  382.583 ,  412.879 ,  415.829 ,  414.930 ,  405.515 ,  418.063 ,  415.443 ,  409.130 ,  391.683 ,  4.822.929 
Nordeste,  1.089.817 ,  1.060.148 ,  1.147.304 ,  1.115.999 ,  1.089.260 ,  1.064.305 ,  1.006.148 ,  1.041.404 ,  1.067.297 ,  1.095.424 ,  1.128.478 ,  1.160.496 ,  13.066.080 
Sudeste/C.Oeste,  4.890.237 ,  4.838.519 ,  4.855.889 ,  5.122.384 ,  4.619.620 ,  4.243.830 ,  4.124.727 ,  4.163.161 ,  4.367.400 ,  4.376.013 ,  4.575.182 ,  4.680.354 ,  54.857.316 
